state_id,candidate,matrix_id,landmark,generation,mass,occupied_types,state_digest
VALI-c02-m127-g080,02,127,80,80,40,22,0a3416093ab367443015bd9951e60413413b4a655d8003fd153b88ce13ccdc9e
VALI-c03-m127-g020,03,127,20,20,43,19,fa6d3a577aa132c77a84a4849e772dcbb1a98f35f8508257b2d01122240d25c2
VALI-c03-m127-g035,03,127,35,35,40,11,2e24cd960d64dfc5738bc7de74037991e4acab9cec2b757e05e3f46efbc40b0a
VALI-c03-m127-g050,03,127,50,50,34,20,04028fd1fa1acd18f80dc94d778bf92aceef2984a53fa583c740faad949c2512
VALI-c03-m127-g065,03,127,65,65,39,27,6941a82dd96a42883aaa3a709d71e0653d41c2588520f236abb2f0e7a4d58e27
VALI-c03-m127-g080,03,127,80,80,48,18,5ff6c976ffe8b21a05389ea32a57ee779eddd94bf49fd7bbaa55ebe83c25b5d8
VALI-c02-m128-g020,02,128,20,20,40,15,bf75754edcebda4878a1d1b361bf52310e0eaa366b31de6e209d85732286966c
VALI-c02-m128-g035,02,128,35,35,40,22,91c0ff1c0b268b1e2accbaa6f5c570023cd750c3078a839625703fb2da6e018d
VALI-c02-m128-g050,02,128,50,50,40,21,d9931406100ee23b799629e5934f1448aa141ae1f1ca1960e169a753c0bf445a
VALI-c02-m128-g065,02,128,65,65,40,20,e9ff169652e282e04fe6f06ed9687b91569f39a28ce7f0d9fb9f5385cd2b137b
VALI-c02-m128-g080,02,128,80,80,40,14,6692592442ade9342f876a50b86f0479ce79c36a3674b64f94e516497d921920
VALI-c03-m128-g020,03,128,20,20,33,17,7dd22d11dfca410c1e6c776979b706cdaee1d291c7dd657b9e136dda26a6e73a
VALI-c03-m128-g035,03,128,35,35,29,13,e54f6d33cf68e5b21fe254ba7bc4ad977ada0e9f8a047df4f5e97d1464512703
VALI-c03-m128-g050,03,128,50,50,40,19,c175959ecda5e98823850c622ae258c7cf39f24c0f989b65e2e2aa90a87d31c0
VALI-c03-m128-g065,03,128,65,65,39,18,33b4c4063b4bcb015c2ff295462b83ed7eb53d82cbf20e33b408c58e4c443c5f
VALI-c03-m128-g080,03,128,80,80,48,17,39a740b717c54be132ba89744e4f4840087fd3b10e86642867e39c0d26cf6617
VALI-c02-m129-g020,02,129,20,20,40,19,4010a08912ab2a2cfd73ad39cfa1212d8b843a69ed14ecc966b2fcdd15f377d0
VALI-c02-m129-g035,02,129,35,35,40,13,1996d87cdad1c4735e3b20d98c4fd99a77711cf7012c54fe2d7880a71583bc42
VALI-c02-m129-g050,02,129,50,50,40,13,1c22bd765fe268a8c8cb7f7c132b10470a113a00caec7dbfbab1e5500f3090e2
VALI-c02-m129-g065,02,129,65,65,40,15,642a18222b4e356c20842e8a7ced6548bc7c9e5d9ef0ee19481b7dbb906c14a1
VALI-c02-m129-g080,02,129,80,80,40,14,79c6bc85b9de08f390c4352c0a5eb2218b71b65841689adfd6fe09acfc660643
VALI-c03-m129-g020,03,129,20,20,40,17,d9344354936cd6b48dff40fe76b623d7a23645707987a0746cb8e95646bd38b9
VALI-c03-m129-g035,03,129,35,35,40,13,505a82dcf046ca3c67cfbc68aca7ede89dfb431f1b30bf11fd4bfa34be7b4cdb
VALI-c03-m129-g050,03,129,50,50,34,12,7e2a86c4d6435de2c09dcf6221f18ded1c5488fea8e46869ef4d386d9fc3ffd2
VALI-c03-m129-g065,03,129,65,65,31,14,1ed63ed3c3f361a1fa992f6c9c5f66b79911e0b7b0983b2a6835db996bf3f40b
