ambiguous_boundaries,completed_boundaries,model,occupancy_exceeded,parameter_key,passed,seed_index,total_updates
0,0,protocell,False,"py=1e-03,ay=1e-03",False,6,444
0,0,protocell,False,"py=1e-03,ay=1e-03",False,7,56
0,0,protocell,False,"py=1e-03,ay=1e-03",False,8,1452
0,0,protocell,False,"py=1e-03,ay=1e-03",False,9,464
0,0,protocell,False,"py=1e-03,ay=1e-03",False,10,440
0,0,protocell,False,"py=1e-03,ay=1e-03",False,11,640
0,0,protocell,False,"py=1e-03,ay=1e-03",False,12,796
0,0,protocell,False,"py=1e-03,ay=1e-03",False,13,2728
0,0,protocell,False,"py=1e-03,ay=1e-03",False,14,184
0,0,protocell,False,"py=1e-03,ay=1e-03",False,15,808
0,3,protocell,False,"py=1e-03,ay=1e-04",False,0,10560
0,5,protocell,False,"py=1e-03,ay=1e-04",False,1,13084
0,0,protocell,False,"py=1e-03,ay=1e-04",False,2,2748
0,4,protocell,False,"py=1e-03,ay=1e-04",False,3,11608
0,3,protocell,False,"py=1e-03,ay=1e-04",False,4,17240
